52, A repetition based measure for verification of text collections and for text categorization., 2003, Dmitry V. Khmelev & William John Teahan, conf/sigir/KhmelevT03, https://doi.org/10.1145/860435.860456
53, Constructing informative prior distributions from domain knowledge in text classification., 2006, Aynur A. Dayanik & David D. Lewis & David Madigan & Vladimir Menkov & Alexander Genkin, conf/sigir/DayanikLMMG06, https://doi.org/10.1145/1148170.1148255
54, SED: supervised experimental design and its application to text classification., 2010, Yi Zhen & Dit-Yan Yeung, conf/sigir/ZhenY10, https://doi.org/10.1145/1835449.1835501
55, Rule-based word clustering for text classification., 2003, Hui Han 0001 & Eren Manavoglu & C. Lee Giles & Hongyuan Zha, conf/sigir/HanMGZ03, https://doi.org/10.1145/860435.860543
56, Hierarchical multi-label classification of social text streams., 2014, Zhaochun Ren & Maria-Hendrike Peetz & Shangsong Liang & Willemijn van Dolen & Maarten de Rijke, conf/sigir/RenPLDR14, https://doi.org/10.1145/2600428.2609595
57, Topic-bridged PLSA for cross-domain text classification., 2008, Gui-Rong Xue & Wenyuan Dai & Qiang Yang 0001 & Yong Yu 0001, conf/sigir/XueDYY08, https://doi.org/10.1145/1390334.1390441
58, Short text classification in twitter to improve information filtering., 2010, Bharath Sriram & Dave Fuhry & Engin Demir & Hakan Ferhatosmanoglu & Murat Demirbas, conf/sigir/SriramFDFD10, https://doi.org/10.1145/1835449.1835643
59, Empirical investigation of fast text classification over linguistic features., 2002, Roberto Basili 0001 & Alessandro Moschitti & Maria Teresa Pazienza, conf/ecai/BasiliMP02, None
60, What represents "style" in authorship attribution?, 2018, Kalaivani Sundararajan & Damon L. Woodard, conf/coling/SundararajanW18, https://aclanthology.org/C18-1238/
61, Linguistic profiling of texts for the purpose of language verification., 2004, Hans van Halteren & Nelleke Oostdijk, conf/coling/HalterenO04, https://aclanthology.org/C04-1139/
62, Supervised classification of end-of-lines in clinical text with no manual annotation., 2016, Pierre Zweigenbaum & Cyril Grouin & Thomas Lavergne, conf/coling/ZweigenbaumGL16, https://aclanthology.org/W16-5109/
63, Linguistic correlates of style: authorship classification with deep linguistic analysis features., 2004, Michael Gamon, conf/coling/Gamon04, https://aclanthology.org/C04-1088/
64, Using semantic similarity for multi-label zero-shot classification of text documents., 2016, Prateek Veeranna Sappadla & Jinseok Nam & Eneldo Loza Mencía & Johannes Fürnkranz, conf/esann/SappadlaNMF16, http://www.elen.ucl.ac.be/Proceedings/esann/esannpdf/es2016-174.pdf
65, Localized discriminative Gaussian process latent variable model for text-dependent speaker verification., 2016, Nooshin Maghsoodi & Hossein Sameti & Hossein Zeinali, conf/esann/MaghsoodiSZ16, http://www.elen.ucl.ac.be/Proceedings/esann/esannpdf/es2016-79.pdf
66, Why state-of-the-art deep learning barely works as good as a linear classifier in extreme multi-label text classification., 2020, Mohammadreza Qaraei & Sujay Khandagale & Rohit Babbar, conf/esann/QaraeiKB20, https://www.esann.org/sites/default/files/proceedings/2020/ES2020-207.pdf
67, Context-dependent kernel design for object matching and recognition., 2008, Hichem Sahbi & Jean-Yves Audibert & Jaonary Rabarisoa & Renaud Keriven, conf/cvpr/SahbiARK08, https://doi.org/10.1109/CVPR.2008.4587607
68, Real-time scene text localization and recognition., 2012, Lukas Neumann & Jiri Matas, conf/cvpr/NeumannM12, https://doi.org/10.1109/CVPR.2012.6248097
69, Enforcing similarity constraints with integer programming for better scene text recognition., 2011, David L. Smith & Jacqueline L. Feild & Erik G. Learned-Miller, conf/cvpr/SmithFL11, https://doi.org/10.1109/CVPR.2011.5995700
70, Building text features for object image classification., 2009, Gang Wang 0012 & Derek Hoiem & David A. Forsyth, conf/cvpr/WangHF09, https://doi.org/10.1109/CVPR.2009.5206816
71, Contextualizing object detection and classification., 2011, Zheng Song & Qiang Chen 0007 & ZhongYang Huang & Yang Hua & Shuicheng Yan, conf/cvpr/SongCHHY11, https://doi.org/10.1109/CVPR.2011.5995330
72, Context aware topic model for scene recognition., 2012, Zhenxing Niu & Gang Hua 0001 & Xinbo Gao 0001 & Qi Tian 0001, conf/cvpr/NiuHGT12, https://doi.org/10.1109/CVPR.2012.6247997
73, Context-driven clustering by multi-class classification in an active learning framework., 2010, Martin Godec & Sabine Sternig & Peter M. Roth & Horst Bischof, conf/cvpr/GodecSRB10, https://doi.org/10.1109/CVPRW.2010.5543886
74, Material recognition in the wild with the Materials in Context Database., 2015, Sean Bell & Paul Upchurch & Noah Snavely & Kavita Bala, conf/cvpr/BellUSB15, https://doi.org/10.1109/CVPR.2015.7298970
75, Top-down and bottom-up cues for scene text recognition., 2012, Anand Mishra 0001 & Karteek Alahari & C. V. Jawahar, conf/cvpr/MishraAJ12, https://doi.org/10.1109/CVPR.2012.6247990
76, Contextual classification with functional Max-Margin Markov Networks., 2009, Daniel Munoz & James A. Bagnell & Nicolas Vandapel & Martial Hebert, conf/cvpr/MunozBVH09, https://doi.org/10.1109/CVPR.2009.5206590
77, Context-aware mathematical expression recognition: An end-to-end framework and a benchmark., 2016, Wenhao He & Yuxuan Luo & Fei Yin & Han Hu & Junyu Han & Errui Ding & Cheng-Lin Liu, conf/icpr/HeLYHHDL16, https://doi.org/10.1109/ICPR.2016.7900135
